qs_new,original_text,trans,final_climate,manifesto_id,year,party,country,language,date,source,is_primary_doc,handbook,partyname,partyabbrev,parfam,pervote,party_id,kw_cc,kw_c,kw_gw,kw_cer,kw_se,any_kw
87422_200610_0014,"attīstīdama tranzītu un tūrismu,","developing transit and tourism,",0,87422_200610,2006,87422,Latvia,latvian,200610,MARPOR,TRUE,5,For Human Rights in a United Latvia,PCTVL,30,6.026,87422,0,0,0,0,0,0
14110_201904_0072,Ilmaston kohtalokas lämpeneminen,Fatal global warming,1,14110_201904,2019,14110,Finland,finnish,201904,MARPOR,TRUE,5,Green Union,VL,10,11.493,14110,0,1,0,1,0,1
11320_201409_0518,"Mänskliga rättigheter, folkrätt,","Human rights, international law,",0,11320_201409,2014,11320,Sweden,swedish,201409,MARPOR,TRUE,5,Social Democratic Labour Party,SAP,30,31.015,11320,0,0,0,0,0,0
83430_201903_0832,ning vajalikud elektriühendused.,and the necessary electrical connections.,1,83430_201903,2019,83430,Estonia,estonian,201903,MARPOR,TRUE,5,Estonian Reform Party,ER,40,28.934,83430,0,0,0,0,0,0
82610_201710_1230,Ochrana před suchem a povodněmi.,Drought and flood protection.,0,82610_201710,2017,82610,Czech Republic,czech,201710,MARPOR,TRUE,5,Mayors and Independents,STAN,60,5.18,82610,0,0,0,0,0,0
86110_201804_1301,Paks2 helyett megújuló energiára,For renewable energy instead of Paks2,1,86110_201804,2018,86110,Hungary,hungarian,201804,MARPOR,TRUE,5,Politics Can Be Different,LMP,10,7.055,86110,0,0,0,1,0,1
21111_200706_4692,se passer des énergies fossiles.,do without fossil fuels.,1,21111_200706,2007,21111,Belgium,french,200706,MARPOR,TRUE,3,Ecologists,ECOLO,10,5.102,21111,0,0,0,0,0,0
80510_201305_2133,"подобрява инвестиционния климат,","improves the investment climate,",0,80510_201305,2013,80510,Bulgaria,bulgarian,201305,MARPOR,TRUE,4,Citizens for European Development of Bulgaria,GERB,50,30.539,80510,0,1,0,1,0,1
82953_201710_0564,• Strom je klimatizační jednotka:,• A tree is an air conditioning unit:,1,82953_201710,2017,82953,Czech Republic,czech,201710,MARPOR,TRUE,5,Czech Pirate Party,Piráti,95,10.797,82953,0,1,0,1,0,1
51421_201505_0054,and helping fight climate change.,,1,51421_201505,2015,51421,United Kingdom,english,201505,MARPOR,TRUE,4,Liberal Democrats,LibDems,40,7.861,51421,1,1,0,1,0,1
42520_200211_2229,"dem Einsatz biogener Treibstoffe,","the use of biogenic fuels,",1,42520_200211,2002,42520,Austria,german,200211,MARPOR,TRUE,3,Austrian People’s Party,ÖVP,50,42.3,42520,0,0,0,0,0,0
82320_200606_1703,ekologické udržitelnosti rozvoje.,ecological sustainability of development.,0,82320_200606,2006,82320,Czech Republic,czech,200606,MARPOR,TRUE,3,Czech Social Democratic Party,ČSSD,30,32.32,82320,0,0,0,0,1,1
14320_201504_0196,"Ilmaston lämpenemisen torjuminen,","Combating global warming,",1,14320_201504,2015,14320,Finland,finnish,201504,MARPOR,TRUE,5,Finnish Social Democrats,SSDP,30,16.51,14320,0,1,1,1,0,1
13229_201109_0559,Klimarenovering af bygningsmassen,Climate renovation of the building stock,1,13229_201109,2011,13229,Denmark,danish,201109,MARPOR,TRUE,4,Red-Green Unity List,EL,20,6.682,13229,0,1,0,1,0,1
14320_201904_2842,sekä uutta luovaa liiketoimintaa.,and new creative business.,0,14320_201904,2019,14320,Finland,finnish,201904,MARPOR,TRUE,5,Finnish Social Democrats,SSDP,30,17.732,14320,0,0,0,0,0,0
87021_201010_0044,un attīstīta pakalpojumu sistēma.,and developed service system.,0,87021_201010,2010,87021,Latvia,latvian,201010,MARPOR,TRUE,5,Concord Centre,SC,20,26.608,87021,0,0,0,0,0,0
13410_200502_0048,Vi vil genoprette miljøindsatsen.,We will restore environmental efforts.,0,13410_200502,2005,13410,Denmark,danish,200502,MARPOR,TRUE,2,Danish Social-Liberal Party,RV,40,9.181,13410,0,0,0,0,1,1
32061_200804_0040,"• incentivi alla diversificazione,","• incentives for diversification,",0,32061_200804,2008,32061,Italy,italian,200804,MARPOR,TRUE,2,People of Freedom,PdL,60,37.217,32061,0,0,0,0,0,0
87071_201410_0006,"aizstāvējusi pensionāru intereses,","defended the interests of pensioners,",0,87071_201410,2014,87071,Latvia,latvian,201410,MARPOR,TRUE,5,National Alliance ‘All For Latvia!' – ‘For Fatherland and Freedom - Latvian National Independence Movement',,70,16.719,87071,0,0,0,0,0,0
13230_199803_0250,Ansvarlighed for det globale miljø,Responsibility for the global environment,0,13230_199803,1998,13230,Denmark,danish,199803,MARPOR,TRUE,1,Socialist People’s Party,SF,20,7.56,13230,0,0,0,0,1,1
88621_201210_1026,atsinaujinančių šaltinių energiją.,energy from renewable sources.,1,88621_201210,2012,88621,Lithuania,lithuanian,201210,MARPOR,TRUE,4,Homeland Union - Lithuanian Christian Democrats,TS-LKD,60,15.745,88621,0,0,0,1,0,1
13230_200502_0294,bliver miljøbelastningen uløselig.,the environmental burden becomes intractable.,0,13230_200502,2005,13230,Denmark,danish,200502,MARPOR,TRUE,2,Socialist People’s Party,SF,20,5.989,13230,0,0,0,0,1,1
13320_201906_1682,Eller på et tal for CO2-reduktion.,Or on a figure for CO2 reduction.,1,13320_201906,2019,13320,Denmark,danish,201906,MARPOR,TRUE,5,Social Democratic Party,SD,30,25.905,13320,0,0,0,0,0,0
86710_201004_0613,"környezetterhelésüket csökkentjük,","we reduce their environmental impact,",0,86710_201004,2010,86710,Hungary,hungarian,201004,MARPOR,TRUE,3,Movement for a Better Hungary,Jobbik,70,12.18,86710,0,0,0,0,1,1
35220_201910_0544.0,O ambiente e o capitalismo «verde»,The environment and “green” capitalism,0,35220_201910,2019,35220,Portugal,portuguese,201910,MARPOR,TRUE,5,Portuguese Communist Party,PCP,20,5.283,35220,0,0,0,0,1,1
11620_201009_1402,och övrig förnybar kraftproduktion,and other renewable power production,1,11620_201009,2010,11620,Sweden,swedish,201009,MARPOR,TRUE,3,Moderate Coalition Party,MSP,60,30.06,11620,0,0,0,1,0,1
13410_200502_0056,og den vedvarende energi udvikles.,and renewable energy is developed.,1,13410_200502,2005,13410,Denmark,danish,200502,MARPOR,TRUE,2,Danish Social-Liberal Party,RV,40,9.181,13410,0,0,0,1,0,1
33220_200003_1975,"reducir la contaminación del agua,","reduce water pollution,",0,33220_200003,2000,33220,Spain,spanish,200003,MARPOR,TRUE,1,United Left,IU,20,5.449,33220,0,0,0,0,0,0
13230_200502_0311,SF vil satse på vedvarende energi.,SF will invest in renewable energy.,1,13230_200502,2005,13230,Denmark,danish,200502,MARPOR,TRUE,2,Socialist People’s Party,SF,20,5.989,13230,0,0,0,1,0,1
11620_201809_0773,Tydligare klimatfokus i biståndet.,Clearer climate focus in aid.,1,11620_201809,2018,11620,Sweden,swedish,201809,MARPOR,TRUE,5,Moderate Coalition Party,MSP,60,19.836,11620,0,1,0,1,0,1
11420_201809_0280,Utsläppen känner inga landgränser.,Emissions know no national borders.,0,11420_201809,2018,11420,Sweden,swedish,201809,MARPOR,TRUE,5,Liberals,L,40,5.49,11420,0,0,0,1,0,1
41113_200909_0199,"Wer Grün wählt, wählt Klimaschutz.","If you vote green, you choose climate protection.",1,41113_200909,2009,41113,Germany,german,200909,MARPOR,TRUE,2,Alliance‘90/Greens,90/Greens,10,10.706,41113,0,1,0,1,0,1
53520_201102_0814,11.  Environment and Climate Change,,1,53520_201102,2011,53520,Ireland,english,201102,MARPOR,TRUE,4,Family of the Irish,,50,36.104,53520,1,1,0,1,1,1
96521_201006_0038,a v yužívanie obnoviteľných zdrojov,and the use of renewable resources,1,96521_201006,2010,96521,Slovakia,slovak,201006,MARPOR,TRUE,3,Christian Democratic Movement,KDH,50,8.53,96521,0,0,0,1,0,1
87071_201010_0051,"atjaunojamo energoresursu ražošanu,","production of renewable energy resources,",1,87071_201010,2010,87071,Latvia,latvian,201010,MARPOR,TRUE,5,National Alliance ‘All For Latvia!' – ‘For Fatherland and Freedom - Latvian National Independence Movement',,70,7.835,87071,0,0,0,1,0,1
51421_201912_1473,"climate change and the environment,",,1,51421_201912,2019,51421,United Kingdom,english,201912,MARPOR,TRUE,5,Liberal Democrats,LibDems,40,11.537,51421,1,1,0,1,1,1
14110_201104_0528,ja vähentää ympäristön kuormitusta.,and reduces the load on the environment.,0,14110_201104,2011,14110,Finland,finnish,201104,MARPOR,TRUE,4,Green Union,VL,10,7.252,14110,0,0,0,0,1,1
33610_200803_1523,la conservación del medio ambiente.,The conservation of the environment.,0,33610_200803,2008,33610,Spain,spanish,200803,MARPOR,TRUE,2,People's Party,PP,60,40.571,33610,0,0,0,0,1,1
14620_201504_0197,Liikenteen päästöjen vähentämiseksi,To reduce traffic emissions,1,14620_201504,2015,14620,Finland,finnish,201504,MARPOR,TRUE,5,National Coalition,KK,60,18.198,14620,0,0,0,1,0,1
53520_200705_0894,LOCAL GOVERNMENT AND CLIMATE CHANGE,,1,53520_200705,2007,53520,Ireland,english,200705,MARPOR,TRUE,3,Family of the Irish,,50,27.322,53520,1,1,0,1,0,1
87071_201810_0026,"Nodrošināsim sakoptu Latvijas vidi,","We will ensure a tidy Latvian environment,",0,87071_201810,2018,87071,Latvia,latvian,201810,MARPOR,TRUE,5,National Alliance ‘All For Latvia!' – ‘For Fatherland and Freedom - Latvian National Independence Movement',,70,11.08,87071,0,0,0,0,1,1
