manifesto_id,lowe_rile,edate,partyabbrev,parfam_meta,coderyear,pervote,presvote,absseat,totseats,progtype,corpusversion,total,peruncod,416_meta_perc,501_meta_perc,mpd_rile,planeco,markeco,welfare,intpeace,datasetversion,country,language,partyname,parfam_name,party,parfam_fixed,year,date,climate_dec,climate_perc,501_dec,416_dec,std_mpd_rile,std_lowe_rile,std_diff_rile
11110_201009,-1.1870689464637287,19/09/2010,MP,10,2010.0,7.34,,25,349,1,2023-1,262,0.0,0.0,23.282,-9.16,1.527,0.0,19.466,2.672,2023a,Sweden,swedish,Green Ecology Party,ECO,11110,10,2010,201009,0.1052631579,10.52631579,0.23282,0.0,-0.2165252847232792,-0.8686689093590282,0.652143624635749
11220_201009,-0.724492072190972,19/09/2010,V,20,2010.0,5.6,,19,349,1,2023-1,254,0.0,0.0,12.205,-12.205,1.181,0.0,32.677,1.181,2023a,Sweden,swedish,Left Party,LEF,11220,20,2010,201009,0.0641025641,6.41025641,0.12205,0.0,-0.3731928689699436,-0.2770879568794336,-0.0961049120905099
11320_201009,-1.3757534714029251,19/09/2010,SAP,30,2010.0,30.66,,112,349,1,2023-1,282,0.0,0.0,0.709,-32.27,3.191,0.0,40.071,0.709,2023a,Sweden,swedish,Social Democratic Labour Party,SOC,11320,30,2010,201009,0.01162790698,1.162790698,0.00709,0.0,-1.4055525004672575,-1.1099740354684495,-0.2955784649988078
11420_201009,-0.6499212547466531,19/09/2010,FP,40,2010.0,7.06,,24,349,1,2023-1,916,0.0,0.0,8.297,-4.803,1.528,0.655,18.886,0.218,2023a,Sweden,swedish,Liberal People’s Party,LIB,11420,40,2010,201009,0.0536756126,5.36756126,0.08297,0.0,0.007645705280897,-0.1817207267725518,0.1893664320534488
11520_201009,-0.1802334893970911,19/09/2010,Kd,50,2010.0,5.6,,19,349,1,2023-1,479,0.0,0.0,4.593,8.142,0.209,2.088,23.173,1.044,2023a,Sweden,swedish,Christian Democrats,CHR,11520,50,2010,201009,0.03355704698,3.355704698,0.04593,0.0,0.6736758787039087,0.41895421191811,0.2547216667857986
11620_201009,-0.3647787761416232,19/09/2010,MSP,60,2010.0,30.06,,107,349,2,2023-1,1896,0.0,0.0,10.179,2.479,0.686,4.905,18.354,1.108,2023a,Sweden,swedish,Moderate Coalition Party,CON,11620,60,2010,201009,0.05313432836,5.313432836,0.10179,0.0,0.3823101875417213,0.1829426804735518,0.1993675070681695
11710_201009,-0.0569176175689136,19/09/2010,SD,70,2010.0,5.7,,20,349,1,2023-1,204,0.0,0.0,5.392,15.686,0.0,0.49,15.196,0.49,2023a,Sweden,swedish,Sweden Democrats,NAT,11710,70,2010,201009,0.0207253886,2.07253886,0.05392,0.0,1.061820461809602,0.5766605845651555,0.4851598772444464
11810_201009,-0.778061048715367,19/09/2010,CP,80,2010.0,6.56,,23,349,1,2023-1,759,0.0,0.0,22.925,-2.24,0.264,4.743,14.229,0.527,2023a,Sweden,swedish,Centre Party,AGR,11810,80,2010,201009,0.1484716157,14.84716157,0.22925,0.0,0.1395140200343291,-0.3455963236357287,0.4851103436700579
11110_201409,-1.4689875440615676,14/09/2014,MP,10,2017.0,6.889,,25,349,1,2023-1,497,0.201,3.823,14.085,-26.157,0.402,0.604,18.109,1.207,2023a,Sweden,swedish,Green Ecology Party,ECO,11110,10,2014,201409,0.1006160164,10.06160164,0.14085,0.03823,-1.0910339643425089,-1.22920935520566,0.1381753908631511
11220_201409,-1.673500930759924,14/09/2014,V,20,2017.0,5.718,,21,349,1,2023-1,360,0.278,0.556,8.056,-33.889,1.944,0.278,35.556,0.833,2023a,Sweden,swedish,Left Party,LEF,11220,20,2014,201409,0.0566572238,5.66572238,0.08056,0.00556,-1.4888512915658945,-1.4907577179249392,0.0019064263590446
11320_201409,-2.024467107830586,14/09/2014,SAP,30,2017.0,31.015,,113,349,1,2023-1,541,0.0,0.555,5.36,-52.495,1.848,0.37,26.433,2.588,2023a,Sweden,swedish,Social Democratic Labour Party,SOC,11320,30,2014,201409,0.05172413793,5.172413793,0.0536,0.00555,-2.446144254617926,-1.939601827665624,-0.5065424269523022
11420_201409,-0.4555756016822423,14/09/2014,FP,40,2017.0,5.42,,19,349,1,2023-1,436,0.229,0.0,8.486,-2.523,0.0,0.688,11.009,0.0,2023a,Sweden,swedish,Liberal People’s Party,LIB,11420,40,2014,201409,0.04275534442,4.275534442,0.08486,0.0,0.1249534530912073,0.0668243107001183,0.0581291423910889
11520_201409,-0.3918824527709139,14/09/2014,Kd,50,2017.0,4.57,,16,349,1,2023-1,389,0.0,0.0,6.17,4.884,0.0,0.514,28.278,0.0,2023a,Sweden,swedish,Christian Democrats,CHR,11520,50,2014,201409,0.03693931398,3.693931398,0.0617,0.0,0.5060492811749653,0.1482802930352201,0.3577689881397451
11620_201409,-0.7536141419904521,14/09/2014,MSP,60,2017.0,23.325,,84,349,2,2023-1,1634,0.0,0.734,8.262,-16.769,1.224,4.59,17.197,0.612,2023a,Sweden,swedish,Moderate Coalition Party,CON,11620,60,2014,201409,0.04747033104,4.747033104,0.08262,0.00734,-0.6080141676568979,-0.3143316297656731,-0.2936825378912248
11710_201409,-0.5446734772128687,14/09/2014,SD,70,2017.0,12.857,,49,349,1,2023-1,315,0.0,0.0,5.397,-6.984,0.0,0.952,20.317,0.0,2023a,Sweden,swedish,Sweden Democrats,NAT,11710,70,2014,201409,0.02597402597,2.597402597,0.05397,0.0,-0.1045684166376497,-0.0471213035357479,-0.0574471131019018
11810_201409,-0.3702538090069023,14/09/2014,CP,80,2017.0,6.113,,22,349,1,2023-1,380,0.0,0.789,30.263,7.895,0.263,5.526,7.632,0.263,2023a,Sweden,swedish,Centre Party,AGR,11810,80,2014,201409,0.1707317073,17.07317073,0.30263,0.00789,0.6609675393577916,0.1759407628736048,0.4850267764841868
11110_201809,-1.6706332532860708,09/09/2018,MP,10,2019.0,4.414,,16,349,1,2023-1,595,0.0,10.924,25.21,-15.966,0.0,0.168,18.487,2.353,2023a,Sweden,swedish,Green Ecology Party,ECO,11110,10,2018,201809,0.1256454389,12.56454389,0.2521,0.10924,-0.5666992020903721,-1.4870902985926315,0.9203910965022596
11220_201809,-2.033770200581089,09/09/2018,V,20,2019.0,8.005,,28,349,1,2023-1,656,0.457,2.744,5.64,-40.701,1.067,0.0,37.652,3.506,2023a,Sweden,swedish,Left Party,LEF,11220,20,2018,201809,0.04709576138,4.709576138,0.0564,0.02744,-1.839333913532488,-1.951499379783856,0.1121654662513675
11320_201809,-0.9344245298329944,09/09/2018,SAP,30,2019.0,28.261,,100,349,1,2023-1,310,0.0,0.645,6.129,-20.0,0.645,0.0,22.258,0.645,2023a,Sweden,swedish,Social Democratic Labour Party,SOC,11320,30,2018,201809,0.04362416107,4.362416107,0.06129,0.00645,-0.7742515944880877,-0.5455666685389801,-0.2286849259491076
11420_201809,-0.3612154849408719,09/09/2018,L,40,2019.0,5.49,,20,349,1,2023-1,612,0.0,0.49,7.68,-1.144,1.144,2.778,16.503,0.0,2023a,Sweden,swedish,Liberals,LIB,11420,40,2018,201809,0.04628099174,4.628099174,0.0768,0.0049,0.1959040602098116,0.1874997072505965,0.0084043529592151
11520_201809,-0.5482268428028929,09/09/2018,Kd,50,2019.0,6.322,,22,349,1,2023-1,118,0.0,0.0,0.0,-12.712,2.542,0.0,34.746,0.0,2023a,Sweden,swedish,Christian Democrats,CHR,11520,50,2018,201809,0.0,0.0,0.0,0.0,-0.3992784076277625,-0.0516656366340238,-0.3476127709937387
11620_201809,-0.1330912916972062,09/09/2018,MSP,60,2019.0,19.836,,70,349,1,2023-1,1005,0.1,0.498,8.06,7.562,0.796,3.383,17.114,0.1,2023a,Sweden,swedish,Moderate Coalition Party,CON,11620,60,2018,201809,0.04655870445,4.655870445,0.0806,0.00498,0.6438344340854965,0.4792434908863339,0.1645909431991625
11710_201809,-0.5233209508397199,09/09/2018,SD,70,2019.0,17.534,,62,349,1,2023-1,429,0.0,0.0,4.429,-9.091,0.233,0.466,20.28,0.699,2023a,Sweden,swedish,Sweden Democrats,NAT,11710,70,2018,201809,0.02600472813,2.600472813,0.04429,0.0,-0.2129751818290197,-0.0198139550879203,-0.1931612267410994
11810_201809,-0.1234904179691431,09/09/2018,CP,80,2019.0,8.608,,31,349,1,2023-1,460,0.217,3.043,15.652,9.783,0.0,4.565,17.609,0.0,2023a,Sweden,swedish,Centre Party,AGR,11810,80,2018,201809,0.1106094808,11.06094808,0.15652,0.03043,0.758106586667382,0.4915218695528274,0.2665847171145545
13230_199012,-1.2865394730492818,12/12/1990,SF,20,1993.0,8.296,,15,175,1,,163,10.429,1.227,13.497,-15.337,0.0,0.0,11.656,4.294,2023a,Denmark,danish,Socialist People’s Party,LEF,13230,20,1990,199012,0.1032608696,10.32608696,0.13497,0.01227,-0.5343366699093698,-0.9958799139161446,0.4615432440067748
13320_199012,-1.9858774272296649,12/12/1990,SD,30,1993.0,37.384,,69,175,1,,62,22.581,0.0,6.452,-35.484,3.226,0.0,22.581,0.0,2023a,Denmark,danish,Social Democratic Party,SOC,13320,30,1990,199012,0.01388888889,1.388888889,0.06452,0.0,-1.5709152642665285,-1.8902502035887248,0.3193349393221965
13330_199012,-0.0851578083403072,12/12/1990,CD,60,1993.0,5.11,,9,175,1,,40,22.5,0.0,0.0,10.0,2.5,0.0,10.0,0.0,2023a,Denmark,danish,Centre Democrats,CON,13330,60,1990,199012,0.0,0.0,0.0,0.0,0.7692714030159948,0.5405447303495474,0.2287266726664474
13420_199012,0.4764826797358035,12/12/1990,V,40,1993.0,15.793,,29,175,1,,179,18.436,0.0,3.911,10.056,0.0,0.559,0.0,3.352,2023a,Denmark,danish,Liberals,LIB,13420,40,1990,199012,0.007633587786,0.7633587786,0.03911,0.0,0.772152645944669,1.2588162942048051,-0.4866636482601363
13620_199012,0.2435945627410483,12/12/1990,KF,60,1993.0,15.967,,30,175,1,,109,16.514,0.0,8.257,10.092,0.0,12.844,6.422,0.917,2023a,Denmark,danish,Conservative People’s Party,CON,13620,60,1990,199012,0.0,0.0,0.08257,0.0,0.774004873541674,0.9609800171761796,-0.1869751436345056
13951_199012,0.803793943700676,12/12/1990,FP,70,1993.0,6.435,,12,175,1,,78,38.462,0.0,0.0,25.641,2.564,2.564,0.0,0.0,2023a,Denmark,danish,Progress Party,NAT,13951,70,1990,199012,0.0,0.0,0.0,0.0,1.5740128431480398,1.677408575969988,-0.1033957328219481
13230_199409,-1.4821096105393208,21/09/1994,SF,20,1994.0,7.284,,13,175,1,,719,8.206,6.259,6.954,-27.121,2.086,0.556,13.769,3.477,2023a,Denmark,danish,Socialist People’s Party,LEF,13230,20,1994,199409,0.04044630404,4.044630404,0.06954,0.06259,-1.1406325033289733,-1.2459909217239042,0.1053584183949309
13320_199409,-0.6056620761038527,21/09/1994,SD,30,1994.0,34.561,,62,175,1,,217,17.972,0.0,4.608,-7.373,2.304,0.461,9.217,0.0,2023a,Denmark,danish,Social Democratic Party,SOC,13320,30,1994,199409,0.0141509434,1.41509434,0.04608,0.0,-0.1245827648386193,-0.1251184872018081,0.0005357223631887
13420_199409,0.9781624427761476,21/09/1994,V,40,1994.0,23.295,,42,175,1,,209,3.349,0.0,0.0,54.067,6.22,17.225,0.478,0.0,2023a,Denmark,danish,Liberals,LIB,13420,40,1994,199409,0.02702702703,2.702702703,0.0,0.0,3.0365523340497416,1.900405203130992,1.1361471309187494
13620_199409,0.2370136606803097,21/09/1994,KF,60,1994.0,15.021,,27,175,1,,113,9.735,0.0,1.77,15.929,3.54,6.195,4.425,0.0,2023a,Denmark,danish,Conservative People’s Party,CON,13620,60,1994,199409,0.0,0.0,0.0177,0.0,1.0743229980893851,0.952563824050686,0.121759174038699
13951_199409,1.0416657362909874,21/09/1994,FP,70,1994.0,6.433,,11,175,1,,323,8.669,0.0,0.31,44.892,1.238,22.601,1.858,0.619,2023a,Denmark,danish,Progress Party,NAT,13951,70,1994,199409,0.02356902357,2.356902357,0.0031,0.0,2.5644915506464097,1.981618382934159,0.5828731677122507
13229_199803,-1.5845156626835228,11/03/1998,EL,20,2001.0,2.7,,5,175,8,2023-1,117,7.692,0.0,10.256,-32.479,4.274,0.855,15.385,12.821,2023a,Denmark,danish,Red-Green Unity List,LEF,13229,20,1998,199803,0.02325581395,2.325581395,0.10256,0.0,-1.4163057106832024,-1.3769561152658116,-0.0393495954173908
13230_199803,-2.0301506992293405,11/03/1998,SF,20,2001.0,7.56,,13,175,1,2023-1,293,6.485,1.706,22.526,-39.59,2.389,0.0,4.778,3.072,2023a,Denmark,danish,Socialist People’s Party,LEF,13230,20,1998,199803,0.03606557377,3.606557377,0.22526,0.01706,-1.7821721118582536,-1.9468704668911927,0.1646983550329395
13320_199803,-0.3215405871801566,11/03/1998,SD,30,2001.0,35.93,,63,175,1,2023-1,384,15.625,0.0,7.812,-1.042,0.0,7.031,17.188,0.0,2023a,Denmark,danish,Social Democratic Party,SOC,13320,30,1998,199803,0.004962779156,0.4962779156,0.07812,0.0,0.2011520384013255,0.2382391953491194,-0.0370871569477939
13330_199803,-0.947652036744162,11/03/1998,CD,60,2001.0,4.31,,8,175,1,2023-1,214,14.019,0.0,9.813,-14.019,0.935,3.271,11.215,1.869,2023a,Denmark,danish,Centre Democrats,CON,13330,60,1998,199803,0.01826484018,1.826484018,0.09813,0.0,-0.4665245595523571,-0.5624830808644803,0.0959585213121231
13410_199803,-0.5326889553705438,11/03/1998,RV,40,2001.0,3.85,,7,175,1,2023-1,165,9.697,1.212,10.909,-5.455,0.0,1.818,4.848,9.697,2023a,Denmark,danish,Danish Social-Liberal Party,LIB,13410,40,1998,199803,0.005617977528,0.5617977528,0.10909,0.01212,-0.025900194531525,-0.0317945216735085,0.0058943271419835
13420_199803,0.6322010675161644,11/03/1998,V,40,2001.0,24.01,,42,175,1,2023-1,70,2.857,0.0,0.0,28.571,0.0,21.429,11.429,0.0,2023a,Denmark,danish,Liberals,LIB,13420,40,1998,199803,0.02702702703,2.702702703,0.0,0.0,1.7247635892376052,1.4579616412490557,0.2668019479885495
13520_199803,1.0985902786334378,11/03/1998,KrF,50,2001.0,2.51,,4,175,1,2023-1,81,4.938,0.0,2.469,43.21,0.0,2.469,16.049,0.0,2023a,Denmark,danish,Christian People’s Party,CHR,13520,50,1998,199803,0.01136363636,1.136363636,0.02469,0.0,2.477951361253014,2.054418120342897,0.4235332409101167
13620_199803,0.1311821505539834,11/03/1998,KF,60,2001.0,8.92,,16,175,1,2023-1,241,2.49,0.0,9.544,18.672,0.415,10.373,7.469,0.415,2023a,Denmark,danish,Conservative People’s Party,CON,13620,60,1998,199803,0.01612903226,1.612903226,0.09544,0.0,1.2154524508278417,0.8172178760689255,0.3982345747589162
13720_199803,0.3034003263016265,11/03/1998,DF,70,2001.0,7.41,,13,175,1,2023-1,72,4.167,0.0,2.778,9.722,0.0,9.722,11.111,1.389,2023a,Denmark,danish,Danish People’s Party,NAT,13720,70,1998,199803,0.0,0.0,0.02778,0.0,0.7549680899057903,1.037464494759628,-0.2824964048538377
13951_199803,1.0638261725826943,11/03/1998,FP,70,2001.0,2.42,,4,175,1,2023-1,50,8.0,0.0,4.0,34.0,0.0,18.0,6.0,0.0,2023a,Denmark,danish,Progress Party,NAT,13951,70,1998,199803,0.0,0.0,0.04,0.0,2.0040898010192607,2.0099589523355625,-0.0058691513163018
13230_200111,-1.231819172307886,20/11/2001,SF,20,2002.0,6.37,,12,175,1,,130,9.231,0.0,0.0,-33.846,2.308,0.0,26.923,0.769,2023a,Denmark,danish,Socialist People’s Party,LEF,13230,20,2001,200111,0.02173913043,2.173913043,0.0,0.0,-1.4866389086028051,-0.9258991400535128,-0.5607397685492922
13320_200111,-0.8968025915559625,20/11/2001,SD,30,2002.0,29.08,,52,175,1,2023-1,1125,8.356,0.0,8.889,-13.422,0.978,1.867,19.2,0.178,2023a,Denmark,danish,Social Democratic Party,SOC,13320,30,2001,200111,0.01644479248,1.644479248,0.08889,0.0,-0.4358084519020259,-0.497452672103154,0.0616442202011281
13410_200111,-0.3810227306754687,20/11/2001,RV,40,2002.0,5.19,,9,175,1,,53,3.774,0.0,3.774,-3.774,0.0,1.887,11.321,3.774,2023a,Denmark,danish,Danish Social-Liberal Party,LIB,13410,40,2001,200111,0.0,0.0,0.03774,0.0,0.060588544095287,0.1621685894421413,-0.1015800453468542
13420_200111,0.945410096309069,20/11/2001,V,40,2002.0,31.25,,56,175,1,,69,8.696,0.0,0.0,36.232,0.0,11.594,13.043,0.0,2023a,Denmark,danish,Liberals,LIB,13420,40,2001,200111,0.03333333333,3.333333333,0.0,0.0,2.1189279120335645,1.8585188370012595,0.2604090750323049
13620_200111,0.6054273463592725,20/11/2001,KF,60,2002.0,9.07,,16,175,1,,108,5.556,0.0,0.926,20.37,0.0,16.667,5.556,0.0,2023a,Denmark,danish,Conservative People’s Party,CON,13620,60,2001,200111,0.02597402597,2.597402597,0.00926,0.0,1.3028158524865727,1.4237212277214268,-0.1209053752348541
13720_200111,3.367295829986474,20/11/2001,DF,70,2002.0,12.0,,22,175,1,,20,35.0,0.0,0.0,35.0,0.0,0.0,5.0,0.0,2023a,Denmark,danish,Danish People’s Party,NAT,13720,70,2001,200111,0.01917130489,1.917130489,0.0,0.0,2.0555405676027303,4.955823412328582,-2.900282844725852
