manifesto_id,lowe_rile,edate,partyabbrev,parfam_meta,candidatename,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,corpusversion,total,peruncod,416_meta_perc,501_meta_perc,rile,planeco,markeco,welfare,intpeace,datasetversion,country,language,partyname,parfam_name,party,parfam_fixed,year,date,501_raw,416_raw,final_broad,final_broad_perc,501_meta_dec,416_meta_dec,std_rile,std_lowe_rile,std_diff_rile
11620_199409,1.1243035937014385,18/09/1994,MSP,60,,1,1997.0,0.631,,22.38,0.0,,80,349,1,,199,7.538,0.0,3.518,40.201,0.0,28.643,1.508,1.508,2023a,Sweden,swedish,Moderate Coalition Party,CON,11620,60,1994,199409,0.03157894737,0.0,0.03157894737,3.157894737,0.03518,0.0,2.3231360046033545,2.0873024002655605,0.235833604337794
11810_199409,0.25947764954065633,18/09/1994,CP,80,,1,1997.0,0.631,,7.653,0.0,,27,349,1,,165,1.818,0.0,21.818,21.818,0.606,14.545,18.182,0.606,2023a,Sweden,swedish,Centre Party,AGR,11810,80,1994,199409,0.16875,0.00625,0.05625,5.625,0.21818,0.0,1.3773165624994363,0.981292601180731,0.3960239613187053
11220_199809,-1.7144008164633533,21/09/1998,V,20,,1,1998.0,0.631,,11.99,0.0,,43,349,1,,331,9.668,0.0,15.71,-35.952,9.97,0.604,26.586,1.813,2023a,Sweden,swedish,Left Party,LEF,11220,20,1998,199809,0.1028938907,0.009646302251,0.06430868167,6.430868167,0.1571,0.0,-1.5949942230275918,-1.5430638202971785,-0.05193040273041327
11320_199809,-0.26212584360294766,21/09/1998,SAP,30,,1,1998.0,0.631,,36.39,0.0,,131,349,1,,256,12.5,0.0,1.953,-3.516,0.0,10.547,23.438,0.0,2023a,Sweden,swedish,Social Democratic Labour Party,SOC,11320,30,1998,199809,0.02553191489,0.0,0.004255319149,0.4255319149,0.01953,0.0,0.07386284187382218,0.3142236047556539,-0.24036076288183172
11520_199809,-0.16401740628132622,21/09/1998,Kd,50,,1,1998.0,0.631,,11.77,0.0,,42,349,1,,167,5.988,0.0,10.778,4.79,0.0,16.168,26.347,0.0,2023a,Sweden,swedish,Christian Democrats,CHR,11520,50,1998,199809,0.1066666667,0.0,0.03333333333,3.333333333,0.10778,0.0,0.5012129091161192,0.4396926587118335,0.06152025040428566
11620_199809,1.014902049564375,21/09/1998,MSP,60,,1,1998.0,0.631,,22.9,0.0,,82,349,1,,334,10.18,0.0,2.994,37.425,0.0,27.844,4.79,1.198,2023a,Sweden,swedish,Moderate Coalition Party,CON,11620,60,1998,199809,0.03883495146,0.0,0.03883495146,3.883495146,0.02994,0.0,2.1803086765676434,1.9473908022525985,0.23291787431504485
11810_199809,-0.2540588357777924,21/09/1998,CP,80,,1,1998.0,0.631,,5.13,0.0,,18,349,1,,242,4.132,0.0,11.57,11.57,2.479,9.091,14.876,0.826,2023a,Sweden,swedish,Centre Party,AGR,11810,80,1998,199809,0.1050420168,0.0,0.02941176471,2.941176471,0.1157,0.0,0.8500491065520418,0.3245403508756766,0.5255087556763651
11220_200209,-2.2729657522139584,15/09/2002,V,20,,1,2003.0,,,8.388,0.0,,30,349,1,,407,7.617,0.0,9.828,-33.661,4.914,0.0,23.587,0.491,2023a,Sweden,swedish,Left Party,LEF,11220,20,2002,200209,0.07518796992,0.01002506266,0.02255639098,2.255639098,0.09828,0.0,-1.4771205167848633,-2.2574021175424615,0.7802816007575981
11320_200209,-0.8892702582267775,15/09/2002,SAP,30,,1,2003.0,,,39.854,0.0,,144,349,1,,273,8.791,0.0,5.128,-18.315,0.366,4.396,15.751,0.733,2023a,Sweden,swedish,Social Democratic Labour Party,SOC,11320,30,2002,200209,0.05,0.007692307692,0.01923076923,1.923076923,0.05128,0.0,-0.6875570527949417,-0.4878197112417219,-0.19973734155321982
11420_200209,-0.2729582948650169,15/09/2002,FP,40,,1,2003.0,,,13.394,0.0,,48,349,1,,429,12.354,0.0,8.392,0.932,2.098,6.76,7.925,0.233,2023a,Sweden,swedish,Liberal People’s Party,LIB,11420,40,2002,200209,0.08064516129,0.0,0.04032258065,4.032258065,0.08392,0.0,0.3027158516370942,0.30037018450982234,0.0023456671272718554
11520_200209,-0.19219077633272708,15/09/2002,Kd,50,,1,2003.0,,,9.15,0.0,,33,349,1,,332,6.024,0.0,10.542,6.325,1.205,4.217,15.663,0.301,2023a,Sweden,swedish,Christian Democrats,CHR,11520,50,2002,200209,0.0900621118,0.003105590062,0.05279503106,5.279503106,0.10542,0.0,0.5801898358217447,0.4036622602709891,0.17652757555075554
11620_200209,0.9404989971816207,15/09/2002,MSP,60,,1,2003.0,,,15.256,0.0,,55,349,1,,423,6.619,0.0,2.364,38.061,0.709,21.749,8.747,0.236,2023a,Sweden,swedish,Moderate Coalition Party,CON,11620,60,2002,200209,0.0375,0.0,0.0275,2.75,0.02364,0.0,2.21303136411473,1.8522381237595844,0.3607932403551455
11810_200209,-0.14391818849286775,15/09/2002,CP,80,,1,2003.0,,,6.193,0.0,,22,349,1,,263,6.844,0.0,9.886,10.646,0.38,8.365,12.167,0.0,2023a,Sweden,swedish,Centre Party,AGR,11810,80,2002,200209,0.05625,0.0375,0.00625,0.625,0.09886,0.0,0.8025085982289161,0.46539717414418086,0.3371114240847352
11110_200609,-1.0501986514029191,17/09/2006,MP,10,,3,2010.0,0.665,,5.244,0.0,,19,349,1,2023-1,198,0.505,0.0,17.172,-11.616,4.545,0.0,29.798,1.515,2023a,Sweden,swedish,Green Ecology Party,ECO,11110,10,2006,200609,0.1620111732,0.0,0.07262569832,7.262569832,0.17172,0.0,-0.3428883674522801,-0.6936280371893284,0.35073966973704834
11220_200609,-1.2849197175049873,17/09/2006,V,20,,3,2010.0,0.665,,5.85,0.0,,22,349,1,2023-1,389,0.0,0.0,5.398,-35.99,12.082,0.0,24.679,1.028,2023a,Sweden,swedish,Left Party,LEF,11220,20,2006,200609,0.04913294798,0.0,0.03757225434,3.757225434,0.05398,0.0,-1.5969493521577638,-0.9938084387063554,-0.6031409134514084
11320_200609,-1.0641893148285941,17/09/2006,SAP,30,,3,2010.0,0.665,,34.994,0.0,,130,349,1,2023-1,393,0.0,0.0,5.089,-24.173,4.071,1.527,29.517,1.781,2023a,Sweden,swedish,Social Democratic Labour Party,SOC,11320,30,2006,200609,0.04533333333,0.0,0.048,4.8,0.05089,0.0,-0.9889556434409055,-0.7115204361731609,-0.2774352072677446
11420_200609,-0.018367357577512067,17/09/2006,FP,40,,3,2010.0,0.665,,7.537,0.0,,28,349,1,2023-1,605,0.0,0.0,4.463,14.545,1.983,4.298,16.694,0.0,2023a,Sweden,swedish,Liberal People’s Party,LIB,11420,40,2006,200609,0.04369747899,0.0,0.03865546218,3.865546218,0.04463,0.0,1.0031151371378635,0.6259617943584538,0.3771533427794097
11520_200609,-0.3524923118764631,17/09/2006,Kd,50,,3,2010.0,0.665,,6.593,0.0,,24,349,1,2023-1,124,0.0,0.0,7.258,0.806,4.839,5.645,20.968,0.0,2023a,Sweden,swedish,Christian Democrats,CHR,11520,50,2006,200609,0.0756302521,0.0,0.06722689076,6.722689076,0.07258,0.0,0.296233055047577,0.19865561087894018,0.09757744416863684
11620_200609,-0.32917641529992636,17/09/2006,MSP,60,,3,2010.0,0.665,,26.23,0.0,,97,349,2,2023-1,858,0.0,0.0,6.76,3.963,1.632,4.196,17.249,0.583,2023a,Sweden,swedish,Moderate Coalition Party,CON,11620,60,2006,200609,0.0612244898,0.0,0.07322929172,7.322929172,0.0676,0.0,0.45866312515158997,0.2284738769268235,0.23018924822476647
11810_200609,-0.5924241549063218,17/09/2006,CP,80,,3,2010.0,0.665,,7.879,0.0,,29,349,1,2023-1,314,0.0,0.0,14.013,-4.459,4.14,3.822,18.79,0.318,2023a,Sweden,swedish,Centre Party,AGR,11810,80,2006,200609,0.1279461279,0.0,0.08417508418,8.417508418,0.14013,0.0,0.02534476898561054,-0.10818875623936611,0.13353352522497663
11110_201009,-1.1870689464637287,19/09/2010,MP,10,,3,2010.0,0.467,,7.34,0.0,,25,349,1,2023-1,262,0.0,0.0,23.282,-9.16,1.527,0.0,19.466,2.672,2023a,Sweden,swedish,Green Ecology Party,ECO,11110,10,2010,201009,0.201754386,0.0,0.1052631579,10.52631579,0.23282,0.0,-0.2165252847232792,-0.8686689093590282,0.652143624635749
11220_201009,-0.724492072190972,19/09/2010,V,20,,3,2010.0,0.467,,5.6,0.0,,19,349,1,2023-1,254,0.0,0.0,12.205,-12.205,1.181,0.0,32.677,1.181,2023a,Sweden,swedish,Left Party,LEF,11220,20,2010,201009,0.1153846154,0.0,0.0641025641,6.41025641,0.12205,0.0,-0.3731928689699436,-0.27708795687943366,-0.09610491209050992
11320_201009,-1.3757534714029251,19/09/2010,SAP,30,,3,2010.0,0.467,,30.66,0.0,,112,349,1,2023-1,282,0.0,0.0,0.709,-32.27,3.191,0.0,40.071,0.709,2023a,Sweden,swedish,Social Democratic Labour Party,SOC,11320,30,2010,201009,0.003875968992,0.0,0.01162790698,1.162790698,0.00709,0.0,-1.4055525004672575,-1.1099740354684497,-0.2955784649988078
11420_201009,-0.6499212547466531,19/09/2010,FP,40,,3,2010.0,0.467,,7.06,0.0,,24,349,1,2023-1,916,0.0,0.0,8.297,-4.803,1.528,0.655,18.886,0.218,2023a,Sweden,swedish,Liberal People’s Party,LIB,11420,40,2010,201009,0.0805134189,0.0,0.0536756126,5.36756126,0.08297,0.0,0.007645705280897046,-0.18172072677255183,0.18936643205344889
11520_201009,-0.18023348939709116,19/09/2010,Kd,50,,3,2010.0,0.467,,5.6,0.0,,19,349,1,2023-1,479,0.0,0.0,4.593,8.142,0.209,2.088,23.173,1.044,2023a,Sweden,swedish,Christian Democrats,CHR,11520,50,2010,201009,0.04026845638,0.0,0.03355704698,3.355704698,0.04593,0.0,0.6736758787039087,0.41895421191811,0.25472166678579866
11620_201009,-0.36477877614162324,19/09/2010,MSP,60,,3,2010.0,0.467,,30.06,0.0,,107,349,2,2023-1,1896,0.0,0.0,10.179,2.479,0.686,4.905,18.354,1.108,2023a,Sweden,swedish,Moderate Coalition Party,CON,11620,60,2010,201009,0.09850746269,0.0,0.05313432836,5.313432836,0.10179,0.0,0.38231018754172136,0.1829426804735518,0.19936750706816955
11710_201009,-0.05691761756891367,19/09/2010,SD,70,,3,2010.0,0.467,,5.7,0.0,,20,349,1,2023-1,204,0.0,0.0,5.392,15.686,0.0,0.49,15.196,0.49,2023a,Sweden,swedish,Sweden Democrats,NAT,11710,70,2010,201009,0.05699481865,0.0,0.0207253886,2.07253886,0.05392,0.0,1.0618204618096019,0.5766605845651555,0.4851598772444464
11810_201009,-0.778061048715367,19/09/2010,CP,80,,3,2010.0,0.467,,6.56,0.0,,23,349,1,2023-1,759,0.0,0.0,22.925,-2.24,0.264,4.743,14.229,0.527,2023a,Sweden,swedish,Centre Party,AGR,11810,80,2010,201009,0.2328966521,0.0,0.1484716157,14.84716157,0.22925,0.0,0.13951402003432914,-0.34559632363572873,0.4851103436700579
11110_201409,-1.4689875440615676,14/09/2014,MP,10,,5,2017.0,0.807,0.712,6.889,0.0,,25,349,1,2023-1,497,0.201,3.823,14.085,-26.157,0.402,0.604,18.109,1.207,2023a,Sweden,swedish,Green Ecology Party,ECO,11110,10,2014,201409,0.1396303901,0.03490759754,0.1006160164,10.06160164,0.14085,0.03823,-1.0910339643425089,-1.22920935520566,0.13817539086315112
11220_201409,-1.673500930759924,14/09/2014,V,20,,5,2017.0,0.807,0.712,5.718,0.0,,21,349,1,2023-1,360,0.278,0.556,8.056,-33.889,1.944,0.278,35.556,0.833,2023a,Sweden,swedish,Left Party,LEF,11220,20,2014,201409,0.07648725212,0.00566572238,0.0566572238,5.66572238,0.08056,0.00556,-1.4888512915658945,-1.4907577179249392,0.0019064263590446995
11320_201409,-2.024467107830586,14/09/2014,SAP,30,,5,2017.0,0.807,0.712,31.015,0.0,,113,349,1,2023-1,541,0.0,0.555,5.36,-52.495,1.848,0.37,26.433,2.588,2023a,Sweden,swedish,Social Democratic Labour Party,SOC,11320,30,2014,201409,0.05172413793,0.005747126437,0.05172413793,5.172413793,0.0536,0.00555,-2.446144254617926,-1.939601827665624,-0.5065424269523022
11420_201409,-0.4555756016822423,14/09/2014,FP,40,,5,2017.0,0.807,0.712,5.42,0.0,,19,349,1,2023-1,436,0.229,0.0,8.486,-2.523,0.0,0.688,11.009,0.0,2023a,Sweden,swedish,Liberal People’s Party,LIB,11420,40,2014,201409,0.08076009501,0.0,0.04275534442,4.275534442,0.08486,0.0,0.12495345309120731,0.06682431070011832,0.05812914239108899
11520_201409,-0.39188245277091394,14/09/2014,Kd,50,,5,2017.0,0.807,0.712,4.57,0.0,,16,349,1,2023-1,389,0.0,0.0,6.17,4.884,0.0,0.514,28.278,0.0,2023a,Sweden,swedish,Christian Democrats,CHR,11520,50,2014,201409,0.06068601583,0.0,0.03693931398,3.693931398,0.0617,0.0,0.5060492811749653,0.14828029303522017,0.3577689881397451
11620_201409,-0.7536141419904521,14/09/2014,MSP,60,,5,2017.0,0.807,0.712,23.325,0.0,,84,349,2,2023-1,1634,0.0,0.734,8.262,-16.769,1.224,4.59,17.197,0.612,2023a,Sweden,swedish,Moderate Coalition Party,CON,11620,60,2014,201409,0.0755777639,0.006870705809,0.04747033104,4.747033104,0.08262,0.00734,-0.6080141676568979,-0.3143316297656731,-0.2936825378912248
11710_201409,-0.5446734772128687,14/09/2014,SD,70,,5,2017.0,0.807,0.712,12.857,0.0,,49,349,1,2023-1,315,0.0,0.0,5.397,-6.984,0.0,0.952,20.317,0.0,2023a,Sweden,swedish,Sweden Democrats,NAT,11710,70,2014,201409,0.05519480519,0.0,0.02597402597,2.597402597,0.05397,0.0,-0.10456841663764975,-0.047121303535747915,-0.057447113101901835
11810_201409,-0.3702538090069023,14/09/2014,CP,80,,5,2017.0,0.807,0.712,6.113,0.0,,22,349,1,2023-1,380,0.0,0.789,30.263,7.895,0.263,5.526,7.632,0.263,2023a,Sweden,swedish,Centre Party,AGR,11810,80,2014,201409,0.2872628726,0.008130081301,0.1707317073,17.07317073,0.30263,0.00789,0.6609675393577916,0.17594076287360483,0.4850267764841868
11110_201809,-1.6706332532860708,09/09/2018,MP,10,,5,2019.0,0.88,0.674,4.414,0.0,,16,349,1,2023-1,595,0.0,10.924,25.21,-15.966,0.0,0.168,18.487,2.353,2023a,Sweden,swedish,Green Ecology Party,ECO,11110,10,2018,201809,0.2547332186,0.1118760757,0.1256454389,12.56454389,0.2521,0.10924,-0.5666992020903721,-1.4870902985926315,0.9203910965022595
11220_201809,-2.033770200581089,09/09/2018,V,20,,5,2019.0,0.88,0.674,8.005,0.0,,28,349,1,2023-1,656,0.457,2.744,5.64,-40.701,1.067,0.0,37.652,3.506,2023a,Sweden,swedish,Left Party,LEF,11220,20,2018,201809,0.05651491366,0.02825745683,0.04709576138,4.709576138,0.0564,0.02744,-1.839333913532488,-1.9514993797838556,0.11216546625136758
11320_201809,-0.9344245298329943,09/09/2018,SAP,30,,5,2019.0,0.88,0.674,28.261,0.0,,100,349,1,2023-1,310,0.0,0.645,6.129,-20.0,0.645,0.0,22.258,0.645,2023a,Sweden,swedish,Social Democratic Labour Party,SOC,11320,30,2018,201809,0.06040268456,0.003355704698,0.04362416107,4.362416107,0.06129,0.00645,-0.7742515944880877,-0.5455666685389801,-0.2286849259491076
11420_201809,-0.36121548494087197,09/09/2018,L,40,,5,2019.0,0.88,0.674,5.49,0.0,,20,349,1,2023-1,612,0.0,0.49,7.68,-1.144,1.144,2.778,16.503,0.0,2023a,Sweden,swedish,Liberals,LIB,11420,40,2018,201809,0.07272727273,0.004958677686,0.04628099174,4.628099174,0.0768,0.0049,0.19590406020981163,0.1874997072505965,0.008404352959215128
11520_201809,-0.5482268428028929,09/09/2018,Kd,50,,5,2019.0,0.88,0.674,6.322,0.0,,22,349,1,2023-1,118,0.0,0.0,0.0,-12.712,2.542,0.0,34.746,0.0,2023a,Sweden,swedish,Christian Democrats,CHR,11520,50,2018,201809,0.0,0.0,0.0,0.0,0.0,0.0,-0.39927840762776257,-0.051665636634023855,-0.3476127709937387
11620_201809,-0.13309129169720624,09/09/2018,MSP,60,,5,2019.0,0.88,0.674,19.836,0.0,,70,349,1,2023-1,1005,0.1,0.498,8.06,7.562,0.796,3.383,17.114,0.1,2023a,Sweden,swedish,Moderate Coalition Party,CON,11620,60,2018,201809,0.07287449393,0.004048582996,0.04655870445,4.655870445,0.0806,0.00498,0.6438344340854965,0.47924349088633394,0.1645909431991625
11710_201809,-0.5233209508397199,09/09/2018,SD,70,,5,2019.0,0.88,0.674,17.534,0.0,,62,349,1,2023-1,429,0.0,0.0,4.429,-9.091,0.233,0.466,20.28,0.699,2023a,Sweden,swedish,Sweden Democrats,NAT,11710,70,2018,201809,0.04491725768,0.0,0.02600472813,2.600472813,0.04429,0.0,-0.21297518182901978,-0.019813955087920374,-0.19316122674109942
11810_201809,-0.12349041796914317,09/09/2018,CP,80,,5,2019.0,0.88,0.674,8.608,0.0,,31,349,1,2023-1,460,0.217,3.043,15.652,9.783,0.0,4.565,17.609,0.0,2023a,Sweden,swedish,Centre Party,AGR,11810,80,2018,201809,0.1557562077,0.02934537246,0.1106094808,11.06094808,0.15652,0.03043,0.758106586667382,0.49152186955282745,0.2665847171145545
13230_199012,-1.2865394730492818,12/12/1990,SF,20,,999,1993.0,,,8.296,0.0,,15,175,1,,163,10.429,1.227,13.497,-15.337,0.0,0.0,11.656,4.294,2023a,Denmark,danish,Socialist People’s Party,LEF,13230,20,1990,199012,0.1902173913,0.02173913043,0.1032608696,10.32608696,0.13497,0.01227,-0.5343366699093698,-0.9958799139161446,0.4615432440067748
13320_199012,-1.9858774272296649,12/12/1990,SD,30,,999,1993.0,,,37.384,0.0,,69,175,1,,62,22.581,0.0,6.452,-35.484,3.226,0.0,22.581,0.0,2023a,Denmark,danish,Social Democratic Party,SOC,13320,30,1990,199012,0.02777777778,0.0,0.01388888889,1.388888889,0.06452,0.0,-1.5709152642665283,-1.8902502035887248,0.3193349393221965
13330_199012,-0.08515780834030728,12/12/1990,CD,60,,999,1993.0,,,5.11,0.0,,9,175,1,,40,22.5,0.0,0.0,10.0,2.5,0.0,10.0,0.0,2023a,Denmark,danish,Centre Democrats,CON,13330,60,1990,199012,0.01538461538,0.01538461538,0.0,0.0,0.0,0.0,0.7692714030159948,0.5405447303495474,0.22872667266644742
13420_199012,0.4764826797358035,12/12/1990,V,40,,999,1993.0,,,15.793,0.0,,29,175,1,,179,18.436,0.0,3.911,10.056,0.0,0.559,0.0,3.352,2023a,Denmark,danish,Liberals,LIB,13420,40,1990,199012,0.08015267176,0.0,0.007633587786,0.7633587786,0.03911,0.0,0.772152645944669,1.2588162942048053,-0.4866636482601363
13620_199012,0.2435945627410483,12/12/1990,KF,60,,999,1993.0,,,15.967,0.0,,30,175,1,,109,16.514,0.0,8.257,10.092,0.0,12.844,6.422,0.917,2023a,Denmark,danish,Conservative People’s Party,CON,13620,60,1990,199012,0.04494382022,0.01123595506,0.0,0.0,0.08257,0.0,0.774004873541674,0.9609800171761796,-0.18697514363450563
13951_199012,0.803793943700676,12/12/1990,FP,70,,999,1993.0,,,6.435,0.0,,12,175,1,,78,38.462,0.0,0.0,25.641,2.564,2.564,0.0,0.0,2023a,Denmark,danish,Progress Party,NAT,13951,70,1990,199012,0.0202020202,0.0101010101,0.0,0.0,0.0,0.0,1.5740128431480398,1.677408575969988,-0.10339573282194814
13230_199409,-1.4821096105393208,21/09/1994,SF,20,,999,1994.0,,,7.284,0.0,,13,175,1,,719,8.206,6.259,6.954,-27.121,2.086,0.556,13.769,3.477,2023a,Denmark,danish,Socialist People’s Party,LEF,13230,20,1994,199409,0.1032078103,0.03905160391,0.04044630404,4.044630404,0.06954,0.06259,-1.1406325033289733,-1.2459909217239042,0.10535841839493099
13320_199409,-0.6056620761038527,21/09/1994,SD,30,,999,1994.0,,,34.561,0.0,,62,175,1,,217,17.972,0.0,4.608,-7.373,2.304,0.461,9.217,0.0,2023a,Denmark,danish,Social Democratic Party,SOC,13320,30,1994,199409,0.1179245283,0.004716981132,0.0141509434,1.41509434,0.04608,0.0,-0.12458276483861937,-0.1251184872018081,0.0005357223631887315
13420_199409,0.9781624427761475,21/09/1994,V,40,,999,1994.0,,,23.295,0.0,,42,175,1,,209,3.349,0.0,0.0,54.067,6.22,17.225,0.478,0.0,2023a,Denmark,danish,Liberals,LIB,13420,40,1994,199409,0.01621621622,0.005405405405,0.02702702703,2.702702703,0.0,0.0,3.0365523340497416,1.9004052031309921,1.1361471309187494
13620_199409,0.2370136606803097,21/09/1994,KF,60,,999,1994.0,,,15.021,0.0,,27,175,1,,113,9.735,0.0,1.77,15.929,3.54,6.195,4.425,0.0,2023a,Denmark,danish,Conservative People’s Party,CON,13620,60,1994,199409,0.05797101449,0.0,0.0,0.0,0.0177,0.0,1.0743229980893851,0.9525638240506861,0.12175917403869907
13951_199409,1.0416657362909874,21/09/1994,FP,70,,999,1994.0,,,6.433,0.0,,11,175,1,,323,8.669,0.0,0.31,44.892,1.238,22.601,1.858,0.619,2023a,Denmark,danish,Progress Party,NAT,13951,70,1994,199409,0.07744107744,0.0,0.02356902357,2.356902357,0.0031,0.0,2.5644915506464097,1.981618382934159,0.5828731677122507
13229_199803,-1.5845156626835228,11/03/1998,EL,20,,1,2001.0,0.842,,2.7,0.0,,5,175,8,2023-1,117,7.692,0.0,10.256,-32.479,4.274,0.855,15.385,12.821,2023a,Denmark,danish,Red-Green Unity List,LEF,13229,20,1998,199803,0.1007751938,0.0,0.02325581395,2.325581395,0.10256,0.0,-1.4163057106832024,-1.3769561152658116,-0.039349595417390804
13230_199803,-2.0301506992293405,11/03/1998,SF,20,,1,2001.0,0.842,,7.56,0.0,,13,175,1,2023-1,293,6.485,1.706,22.526,-39.59,2.389,0.0,4.778,3.072,2023a,Denmark,danish,Socialist People’s Party,LEF,13230,20,1998,199803,0.2163934426,0.01967213115,0.03606557377,3.606557377,0.22526,0.01706,-1.7821721118582536,-1.9468704668911931,0.1646983550329395
13320_199803,-0.32154058718015666,11/03/1998,SD,30,,1,2001.0,0.842,,35.93,0.0,,63,175,1,2023-1,384,15.625,0.0,7.812,-1.042,0.0,7.031,17.188,0.0,2023a,Denmark,danish,Social Democratic Party,SOC,13320,30,1998,199803,0.07444168734,0.002481389578,0.004962779156,0.4962779156,0.07812,0.0,0.20115203840132553,0.23823919534911947,-0.03708715694779394
13330_199803,-0.9476520367441621,11/03/1998,CD,60,,1,2001.0,0.842,,4.31,0.0,,8,175,1,2023-1,214,14.019,0.0,9.813,-14.019,0.935,3.271,11.215,1.869,2023a,Denmark,danish,Centre Democrats,CON,13330,60,1998,199803,0.1095890411,0.0,0.01826484018,1.826484018,0.09813,0.0,-0.4665245595523571,-0.5624830808644803,0.09595852131212318
13410_199803,-0.5326889553705438,11/03/1998,RV,40,,1,2001.0,0.842,,3.85,0.0,,7,175,1,2023-1,165,9.697,1.212,10.909,-5.455,0.0,1.818,4.848,9.697,2023a,Denmark,danish,Danish Social-Liberal Party,LIB,13410,40,1998,199803,0.1011235955,0.01123595506,0.005617977528,0.5617977528,0.10909,0.01212,-0.02590019453152502,-0.03179452167350854,0.00589432714198352
